Nodo,Cliente,Vlan Name,Nombre a Cambiar,Current Vlan,New Vlan,Servicio,Migrado
Bol,LEB-CHOCOBRU,LEB-CHOCOBRU,BOL-CHOCOBRU,603,3400,,
,BOL- TECNOCOMPUTACION ,BOL- TECNOCOMPUTACION ,BOL- TECNOCOMPUTACION,617,3408,,
,BOL-AGROP-MUNDIAL,BOL-AGROP-MUNDIAL,BOL-AGROP-MUNDIAL,671,3432,,
,LEB-ALBORADA,LEB-ALBORADA,BOL-ALBORADA,659,3422,,
,LEB-AVILAIRE,LEB-AVILAIRE,BOL-AVILAIRE,1682,3435,,
,LEB-AXESS-NET,LEB-AXESS-NET,BOL-AXESS-NET,611,3403,,
,BOL-BET-SHMUEL-ESTE,BOL-BET-SHMUEL-ESTE,BOL-BET-SHMUEL-ESTE,627,3410,,
,BOL-BRANZA-1800,BOL-BRANZA-1800,BOL-BRANZA-1800,670,3431,,
,LEB-CANGURO,LEB-CANGURO,BOL-CANGURO,1658,3450,,
,LEB-CAPI,LEB-CAPI,BOL-CAPI,616,3407,,
,BOL-CAUCHOS-MUNDIAL,BOL-CAUCHOS-MUNDIAL,BOL-CAUCHOS-MUNDIAL,666,3427,,
,BOL-CGSI,BOL-CGSI,BOL-CGSI,654,3419,,
,LEB-CLUB LOS CORTIJOS ,LEB-CLUB LOS CORTIJOS ,BOL-CL-LOS-CORTIJOS,1714,3438,,
,BOL-COLEGIO-FRANCIA,BOL-COLEGIO-FRANCIA,BOL-COLEGIO-FRANCIA,669,3430,,
,LEB-CONSIS,LEB-CONSIS,BOL-CONSIS,641,3412,,
,LEB-DGCIM-LOGISTICA,LEB-DGCIM-LOGISTICA,BOL-DGCIM-LOGISTICA,1653,3446,,
,LEB-DGCIM-OPERACIONES,LEB-DGCIM-OPERACIONES,BOL-DGCIM-OPER,1652,3445,,
,LEB-DIRECTA-GROUP-AUTANA,LEB-DIRECTA-GROUP-AUTANA,BOL-DIR-GROUP-AUTANA,1660,3451,,
,LEB-DROGUERIA-NENA,LEB-DROGUERIA-NENA,BOL-DROGUERIA-NENA,1681,3434,,
,LEB-FARMACIA-ADAN,LEB-FARMACIA-ADAN,BOL-FARMACIA-ADAN,1666,3442,,
,LEB-GALAXIA-MEDICA,LEB-GALAXIA-MEDICA,BOL-GALAXIA-MEDICA,651,3417,,
,LEB-GENERACION-TECN,LEB-GENERACION-TECN,BOL-GENERACION-TECN,1667,3443,,
,LEB-GINA,LEB-GINA,BOL-GINA,1120,3454,,
,BOL-GRUPO-PHX,BOL-GRUPO-PHX,BOL-GRUPO-PHX,668,3429,,
,BOL-HEB-CAM,BOL-HEB-CAM,BOL-HEB-CAM,605,3401,,
,BOL-HEB-COLEGIO,BOL-HEB-COLEGIO,BOL-HEB-COLEGIO,644,3414,,
,LEB-HEBRAICA-CLUB,LEB-HEBRAICA-CLUB,BOL-HEBRAICA-CLUB,1123,3456,,
,LEB-HEB-WIFI,LEB-HEB-WIFI,BOL-HEB-WIFI,1122,3455,,
,BOL-HOGAR-LUVADICHT ,BOL-HOGAR-LUVADICHT ,BOL-HOGAR-LUVADICHT,662,3426,,
,LEB-HOTECHE,LEB-HOTECHE,BOL-HOTECHE,1675,3433,,
,LEB-INFOTAX,LEB-INFOTAX,BOL-INFOTAX,642,3413,,
,BOL-JOSEPH-SIMKIN,BOL-JOSEPH-SIMKIN,BOL-JOSEPH-SIMKIN,626,3409,,
,LEB-JUAN-CARLOS-VALERA,LEB-JUAN-CARLOS-VALERA,BOL-JUAN-CARLOS-VALERA,615,3406,,
,LEB-KORES,LEB-KORES,BOL-KORES,1719,3441,,
,LEB-LA-PERLA,LEB-LA-PERLA,BOL-LA-PERLA,652,3418,,
,LEB- LIBERTY EXPRESS BOLEITA,LEB- LIBERTY EXPRESS BOLEITA,BOL-LIBERTY-EXP-BOL,1717,3439,,
,BOL-LIBERTY-OFINCA,BOL-LIBERTY-OFINCA,BOL-LIBERTY-OFINCA,667,3428,,
,LEB-LIDER-PRAGMA,LEB-LIDER-PRAGMA,BOL-LIDER-PRAGMA,1656,3449,,
,BOL-MAPLOCA ,BOL-MAPLOCA ,BOL-MAPLOCA,657,3420,,
,BOL-MICROFILMS,BOL-MICROFILMS,BOL-MICROFILMS,650,3416,,
,LEB-NIVTAJ-TSALACH,LEB-NIVTAJ-TSALACH,BOL-NIVTAJ-TSALACH,1661,3452,,
,BOL-OLTP-ATM,BOL-OLTP-ATM,BOL-OLTP-ATM,661,3425,,
,BOL-OLTP-URB,BOL-OLTP-URB,BOL-OLTP-URB,658,3421,,
,BOL-OPAS,BOL-OPAS,BOL-OPAS,647,3415,,
,LEB-PEPSICO,LEB-PEPSICO,BOL-PEPSICO,1119,3453,,
,LEB- POLINAC,LEB- POLINAC,BOL-POLINAC,1718,3440,,
,LEB-PRC-SEGRE,LEB-PRC-SEGRE,BOL-PRC-SEGRE,1669,3444,,
,LEB-PRIMTEK-CCBC,LEB-PRIMTEK-CCBC,BOL-PRIMTEK-CCBC,1655,3448,,
,LEB-PRIMTEK-WILSON,LEB-PRIMTEK-WILSON,BOL-PRIMTEK-WILSON,1654,3447,,
,BOL-PROD_KHYM,BOL-PROD_KHYM,BOL-PROD_KHYM,660,3423,-------,
,BOL-QUINTA MI REFUGUO ,BOL-QUINTA MI REFUGUO ,BOL-QUINTA MI REFUGUO,612,3404,,
,BOL-RIVOLI,BOL-RIVOLI,BOL-RIVOLI,614,3405,,
,LEB-SALVA-LOGISTC,LEB-SALVA-LOGISTC,BOL-SALVA-LOGISTC,1707,3437,,
,LEB-SMARTCALL-PANALP,LEB-SMARTCALL-PANALP,BOL-SMARTCALL-PANALP,1706,3436,,
,BOL-VALORALTA,BOL-VALORALTA,BOL-VALORALTA,637,3411,,
,BOL-WEDOO,BOL-WEDOO,BOL-WEDOO,606,3402,,
,LEB-MOLINOS-NACIONALES,LEB-MOLINOS-NACIONALES,BOL-MOL-NACIONALES,1134,3461,,
,LEB-PRC333-MONACA,LEB-PRC333-MONACA,BOL-PRC333-MONACA,1133,3460,,
,LEB-PRC-DANISA,LEB-PRC-DANISA,BOL-PRC-DANISA,1132,3459,,
,BOL-ARTROGEN,BOL-ARTROGEN,N/A,610,3462,,
,LEB-SMARTCALL-COLEG,LEB-SMARTCALL-COLEG,BOL-SMARTCALL-COLEG,1128,3458,,
,TOP-RONAVA ,TOP-RONAVA ,,1623,,Transporte,No Será Migrado
,PCR-TOP-TECNOAVILA,PCR-TOP-TECNOAVILA,,1624,,Transporte,No Será Migrado
,PCR-TOP-ACUARIO,PCR-TOP-ACUARIO,,1625,,Transporte,No Será Migrado
,LEB-GAMA-BOL-SW,LEB-GAMA-BOL-SW,,1678,,Transporte,No Será Migrado
,BOL-VENEIMCA,BOL-VENEIMCA,N/A,624,3463,,
,LEB-TELEVEN,LEB-TELEVEN,BOL-TELEVEN,1127,3457,,
MCCY,LEB-CENTRO-MARMOL,LEB-CENTRO-MARMOL,MCCY-CENTRO-MARMOL,1671,3505,,
,LEB-CHARVENCA,LEB-CHARVENCA,MCCY-CHARVENCA,1117,3506,,
,LEB-CLOUDHOPP,LEB-CLOUDHOPP,MCCY-CLOUDHOPP,1683,3501,,
,LEB-CONTALFA,LEB-CONTALFA,MCCY-CONTALFA,1103,3500,,
,LEB-DILOJA,LEB-DILOJA,MCCY-DILOJA,1118,3502,,
,LEB-MUDANZAS-INTER-LLANITO,LEB-MUDANZAS-INTER-LLANITO,MCCY-MUD-INT-LLANITO,1125,3503,,
,LEB-GAMA-URBINA,LEB-GAMA-URBINA,,1720,,Transporte,No Será Migrado
,LEB-2NET-MCY-PLAZA,LEB-2NET-MCY-PLAZA,,1727,,Transporte,No Será Migrado
,LEB-STP-CONSULTORES,LEB-STP-CONSULTORES,MCCY-STP-CONSULTORES,1126,3504,,
Lebrun,LEB-DIVISION-365,LEB-DIVISION-365,N/A,1662,3150,,
,LEB-QTA-ODETE,LEB-QTA-ODETE,N/A,1663,3151,,
,LEB-HERGLY,LEB-HERGLY,N/A,1664,3152,,
,LEB-INVERSIONES-747,LEB-INVERSIONES-747,N/A,1665,3153,,
