NOMBRE_EQUIPO,NOMBRE_VLAN,COMANDO_DEL,COMANDO_ADD,COMANDO_IP
 VECREDNOC1004X1,ELUN-GUILLERMO-AMAR,no interface TenGigabitEthernet1/0/4.983,interface Te0/3/0.3350,ip address 172.23.243.205 255.255.255.252
 VECREDNOC1004X1,ELUN-SAFARI-BAKERY,no interface TenGigabitEthernet1/0/4.984,interface Te0/3/0.3351,ip address 172.23.243.213 255.255.255.252
 VELEBNOC1002X1,BOL-CASIO-PPAL-MGM,no interface GigabitEthernet0/1/5.665,interface Te0/3/0.,ip address 172.23.249.81 255.255.255.240
 VELEBNOC1002X1,BOL-CASIO-PPAL-MGM,no interface GigabitEthernet0/1/5.665,interface Te0/3/0.,ip address 172.23.249.81 255.255.255.240
 VELEBNOC1002X1,BOL-CASIO-PPAL-MGM,no interface GigabitEthernet0/1/5.665,interface Te0/3/0.,ip address 172.23.249.81 255.255.255.240
VECCSNOCJM120x1,GALI-ZURICH,del interfaces ge-3/3/2 unit 559,interface Te0/3/0.3228,ip address 172.23.251.121/30
VECCSNOCJM120x1,GALI-PRIMTEK-27,del interfaces ge-5/0/0 unit 589,interface Te0/3/0.3230,ip address 172.23.248.225/30
VECCSNOCJM120x1,GALI-ACCESS-SALUD,del interfaces ae0 unit 599,interface Te0/3/0.3231,ip address 172.23.247.209/30
 VECREDNOC1004X1,GALI-VENAMCHAM,no interface TenGigabitEthernet1/0/3.1557,interface Te0/3/0.3232,ip address 172.23.244.245 255.255.255.252
 VECREDNOC1004X1,GALI-NATIONAL-CARGO,no interface TenGigabitEthernet1/0/3.1561,interface Te0/3/0.3233,ip address 172.23.244.25 255.255.255.252
VECCSNOCJM120x1,GALI-INST-ITALIANO,del interfaces ge-3/3/2 unit 575,interface Te0/3/0.3235,ip address 172.23.248.25/30
VECCSNOCJM120x1,GALI-MAZAR,del interfaces ge-5/0/0 unit 582,interface Te0/3/0.3236,ip address 172.23.253.205/30
 VECREDNOC1004X1,GALI-GRUPO-FALCON,no interface TenGigabitEthernet1/0/3.1573,interface Te0/3/0.3237,ip address 172.23.243.121 255.255.255.252
 VECCSNOC7206X3,LIBER-SOLUCIONESTI,no interface GigabitEthernet5/0.1013(shutdown),interface Te0/3/0.3035,ip address 172.23.251.81 255.255.255.252
 VECREDNOC1004X1,LIBER-SOLUCIONESTI,no interface TenGigabitEthernet1/0/2.1013,interface Te0/3/0.3035,ip address 172.23.251.81 255.255.255.252
 VECCSNOC7206X3,LIBER-SOAINT,no interface GigabitEthernet5/0.1030,interface Te0/3/0.3036,ip address 172.23.247.93 255.255.255.252
 VECCSNOC7206X3,LIBER-DAV-DUBBING,no interface GigabitEthernet5/0.1018,interface Te0/3/0.3040,ip address 172.23.248.13 255.255.255.252
 VECREDNOC1004X1,LIBER-CLI-SANTIAGO-L,no interface TenGigabitEthernet1/0/2.1050,interface Te0/3/0.3041,ip address 172.23.243.193 255.255.255.252
 VECCSNOC7206X2,LIBER-CONDOMI-BANCOP,no interface GigabitEthernet0/2.1037,interface Te0/3/0.3042,ip address 172.23.247.245 255.255.255.252
 VECCSNOC7206X3,LIBER-SHAAREI-SHALOM,no interface GigabitEthernet5/0.1015,interface Te0/3/0.3043,ip address 190.94.210.157 255.255.255.252
 VECCSNOC7206X3,LIBER-MORE,no interface GigabitEthernet5/0.1020,interface Te0/3/0.3044,ip address 172.23.248.81 255.255.255.252
 VECCSNOC7206X2,TUNO-WORLD-TRADING,no interface GigabitEthernet0/2.485,interface Te0/3/0.3267,ip address 172.23.254.85 255.255.255.252
 VECCSNOC7206X2,TUNO-TOP-FOOD,no interface GigabitEthernet0/2.486,interface Te0/3/0.3268,ip address 172.23.244.5 255.255.255.252
 VECCSNOC7206X2,TUNO-QUINTA-EL-MAISSANCO,no interface GigabitEthernet0/2.490,interface Te0/3/0.3269,ip address 172.23.244.141 255.255.255.252
VECCSNOCJM120x1,TUNO-COELLO-CVA-MER,del interfaces ae0 unit 492,interface Te0/3/0.3270,ip address 172.23.244.157/30
 VECCSNOC7206X2,TUNO-DEST-CARUPANO,no interface GigabitEthernet0/2.494,interface Te0/3/0.3271,ip address 172.23.244.173 255.255.255.252
 VECREDNOC1004X1,TUNO-YEET-DE-VEN,no interface TenGigabitEthernet1/0/2.452,interface Te0/3/0.3272,ip address 172.23.243.201 255.255.255.252
 VECCSNOC7206X2,TUNO-FINAL-CURVE,no interface GigabitEthernet0/2.473,interface Te0/3/0.3280,ip address 172.23.248.65 255.255.255.252
 VECREDNOC1004X1,TUNO-BANKING,no interface TenGigabitEthernet1/0/2.479,interface Te0/3/0.3285,ip address 172.23.243.177 255.255.255.252
VECCSNOCJM120x1,TUNO-HECTICUS,del interfaces ge-3/3/2 unit 482,interface Te0/3/0.3288,ip address 172.23.247.193/30
VECCSNOCJM120x1,TUNO-INTERVIT,del interfaces ge-3/3/2 unit 484,interface Te0/3/0.3290,ip address 172.23.245.233/30
VECCSNOCJM120x1,TUNO-CONSEIN,del interfaces ge-3/3/2 unit 487,interface Te0/3/0.3291,ip address 172.23.253.249/30
VECCSNOCJM120x1,TUNO-CLUB-VALLE-ARRIBA,del interfaces ge-5/0/0 unit 489,interface Te0/3/0.3292,ip address 181.225.53.81/29
